Starting training at: Thu Apr 16 11:01:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.3072', 'grad_norm': '16.92', 'learning_rate': '7.04e-06', 'epoch': '0.6639'}
{'eval_loss': '0.2424', 'eval_wer': '0.2509', 'eval_runtime': '25.2', 'eval_samples_per_second': '56.63', 'eval_steps_per_second': '7.104', 'epoch': '0.6639'}
{'loss': '0.2741', 'grad_norm': '6.879', 'learning_rate': '7.021e-06', 'epoch': '0.6676'}
{'loss': '0.28', 'grad_norm': '37.68', 'learning_rate': '7.003e-06', 'epoch': '0.6713'}
{'loss': '0.2857', 'grad_norm': '23.94', 'learning_rate': '6.984e-06', 'epoch': '0.675'}
{'loss': '0.2613', 'grad_norm': '9.907', 'learning_rate': '6.966e-06', 'epoch': '0.6787'}
{'loss': '0.2582', 'grad_norm': '10', 'learning_rate': '6.947e-06', 'epoch': '0.6824'}
{'loss': '0.2836', 'grad_norm': '9.543', 'learning_rate': '6.929e-06', 'epoch': '0.686'}
{'loss': '0.2966', 'grad_norm': '5.589', 'learning_rate': '6.91e-06', 'epoch': '0.6897'}
{'loss': '0.2951', 'grad_norm': '9.817', 'learning_rate': '6.891e-06', 'epoch': '0.6934'}
{'loss': '0.286', 'grad_norm': '18.2', 'learning_rate': '6.873e-06', 'epoch': '0.6971'}
{'loss': '0.2673', 'grad_norm': '5.319', 'learning_rate': '6.854e-06', 'epoch': '0.7008'}
{'eval_loss': '0.2369', 'eval_wer': '0.2396', 'eval_runtime': '25.06', 'eval_samples_per_second': '56.95', 'eval_steps_per_second': '7.144', 'epoch': '0.7008'}
{'loss': '0.2622', 'grad_norm': '12.56', 'learning_rate': '6.836e-06', 'epoch': '0.7045'}
{'loss': '0.2656', 'grad_norm': '4.373', 'learning_rate': '6.817e-06', 'epoch': '0.7082'}
{'loss': '0.2489', 'grad_norm': '12.81', 'learning_rate': '6.799e-06', 'epoch': '0.7119'}
{'loss': '0.2558', 'grad_norm': '4.637', 'learning_rate': '6.78e-06', 'epoch': '0.7156'}
{'loss': '0.2586', 'grad_norm': '33.75', 'learning_rate': '6.762e-06', 'epoch': '0.7192'}
{'loss': '0.2336', 'grad_norm': '3.92', 'learning_rate': '6.743e-06', 'epoch': '0.7229'}
{'loss': '0.2639', 'grad_norm': '11.41', 'learning_rate': '6.725e-06', 'epoch': '0.7266'}
{'loss': '0.2717', 'grad_norm': '11.03', 'learning_rate': '6.706e-06', 'epoch': '0.7303'}
{'loss': '0.2617', 'grad_norm': '10.93', 'learning_rate': '6.688e-06', 'epoch': '0.734'}
{'loss': '0.2916', 'grad_norm': '6.811', 'learning_rate': '6.669e-06', 'epoch': '0.7377'}
{'eval_loss': '0.2352', 'eval_wer': '0.2531', 'eval_runtime': '25.08', 'eval_samples_per_second': '56.9', 'eval_steps_per_second': '7.138', 'epoch': '0.7377'}
{'loss': '0.2431', 'grad_norm': '23.28', 'learning_rate': '6.651e-06', 'epoch': '0.7414'}
{'loss': '0.2451', 'grad_norm': '4.742', 'learning_rate': '6.632e-06', 'epoch': '0.7451'}
{'loss': '0.2821', 'grad_norm': '33.71', 'learning_rate': '6.614e-06', 'epoch': '0.7487'}
{'loss': '0.2597', 'grad_norm': '4.708', 'learning_rate': '6.595e-06', 'epoch': '0.7524'}
{'loss': '0.231', 'grad_norm': '16.63', 'learning_rate': '6.577e-06', 'epoch': '0.7561'}
{'loss': '0.2646', 'grad_norm': '10.65', 'learning_rate': '6.558e-06', 'epoch': '0.7598'}
{'loss': '0.286', 'grad_norm': '4.409', 'learning_rate': '6.54e-06', 'epoch': '0.7635'}
{'loss': '0.2546', 'grad_norm': '6.857', 'learning_rate': '6.521e-06', 'epoch': '0.7672'}
{'loss': '0.2473', 'grad_norm': '7.685', 'learning_rate': '6.503e-06', 'epoch': '0.7709'}
{'loss': '0.2503', 'grad_norm': '8.885', 'learning_rate': '6.484e-06', 'epoch': '0.7746'}
{'eval_loss': '0.2299', 'eval_wer': '0.2498', 'eval_runtime': '25.12', 'eval_samples_per_second': '56.81', 'eval_steps_per_second': '7.126', 'epoch': '0.7746'}
{'loss': '0.2539', 'grad_norm': '15.97', 'learning_rate': '6.466e-06', 'epoch': '0.7783'}
{'loss': '0.2399', 'grad_norm': '6.808', 'learning_rate': '6.447e-06', 'epoch': '0.7819'}
{'loss': '0.2832', 'grad_norm': '19.52', 'learning_rate': '6.429e-06', 'epoch': '0.7856'}
{'loss': '0.2463', 'grad_norm': '10.73', 'learning_rate': '6.41e-06', 'epoch': '0.7893'}
{'loss': '0.2593', 'grad_norm': '9.614', 'learning_rate': '6.391e-06', 'epoch': '0.793'}
{'loss': '0.2577', 'grad_norm': '18.9', 'learning_rate': '6.373e-06', 'epoch': '0.7967'}
{'loss': '0.2351', 'grad_norm': '8.417', 'learning_rate': '6.354e-06', 'epoch': '0.8004'}
{'loss': '0.2212', 'grad_norm': '5.88', 'learning_rate': '6.336e-06', 'epoch': '0.8041'}
{'loss': '0.2602', 'grad_norm': '4.674', 'learning_rate': '6.318e-06', 'epoch': '0.8078'}
