Starting training at: Thu Apr 16 11:33:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.2689', 'grad_norm': '25.23', 'learning_rate': '6.576e-06', 'epoch': '0.7561'}
{'loss': '0.3098', 'grad_norm': '13.05', 'learning_rate': '6.558e-06', 'epoch': '0.7598'}
{'loss': '0.3218', 'grad_norm': '15.88', 'learning_rate': '6.539e-06', 'epoch': '0.7635'}
{'loss': '0.3124', 'grad_norm': '15.04', 'learning_rate': '6.521e-06', 'epoch': '0.7672'}
{'loss': '0.2848', 'grad_norm': '8.734', 'learning_rate': '6.502e-06', 'epoch': '0.7709'}
{'loss': '0.2768', 'grad_norm': '5.103', 'learning_rate': '6.484e-06', 'epoch': '0.7746'}
{'eval_loss': '0.2741', 'eval_wer': '0.2574', 'eval_runtime': '24.51', 'eval_samples_per_second': '58.22', 'eval_steps_per_second': '7.303', 'epoch': '0.7746'}
{'loss': '0.2989', 'grad_norm': '14.1', 'learning_rate': '6.465e-06', 'epoch': '0.7783'}
{'loss': '0.2565', 'grad_norm': '3.255', 'learning_rate': '6.447e-06', 'epoch': '0.7819'}
{'loss': '0.2999', 'grad_norm': '14.45', 'learning_rate': '6.428e-06', 'epoch': '0.7856'}
{'loss': '0.2794', 'grad_norm': '13.22', 'learning_rate': '6.41e-06', 'epoch': '0.7893'}
{'loss': '0.2893', 'grad_norm': '6.789', 'learning_rate': '6.391e-06', 'epoch': '0.793'}
{'loss': '0.3066', 'grad_norm': '15.6', 'learning_rate': '6.373e-06', 'epoch': '0.7967'}
{'loss': '0.2974', 'grad_norm': '8.458', 'learning_rate': '6.354e-06', 'epoch': '0.8004'}
{'loss': '0.2493', 'grad_norm': '6.811', 'learning_rate': '6.336e-06', 'epoch': '0.8041'}
{'loss': '0.3575', 'grad_norm': '2.709', 'learning_rate': '6.317e-06', 'epoch': '0.8078'}
